Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,«ДОБРОЧЕСНІСТЬ ТА ЗАПОБІГАННЯ КОРУПЦІЇ НА ПУБЛІЧНІЙ СЛУЖБІ»,80,Голови органів місцевого самоврядування та їх заступники; Посадові особи місцевого самоврядування керівного рівня; Посадові особи місцевого самоврядування,1,«ДОБРОЧЕСНІСТЬ ТА ЗАПОБІГАННЯ КОРУПЦІЇ НА ПУБЛІЧНІЙ СЛУЖБІ»
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,“Лідерство у публічному управлінні: відповідь на виклики сьогодення”,59,Посадові особи місцевого самоврядування,17,“Лідерство у публічному управлінні: відповідь на виклики сьогодення”
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,“Лідерство у публічному управлінні: відповідь на виклики сьогодення”,59,Посадові особи місцевого самоврядування керівного рівня,15,“Лідерство у публічному управлінні: відповідь на виклики сьогодення”
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,короткострокова програма «ДОБРОЧЕСНІСТЬ ТА ЗАПОБІГАННЯ КОРУПЦІЇ НА ПУБЛІЧНІЙ СЛУЖБІ»,12,Посадові особи місцевого самоврядування керівного рівня,11,короткострокова програма «ДОБРОЧЕСНІСТЬ ТА ЗАПОБІГАННЯ КОРУПЦІЇ НА ПУБЛІЧНІЙ СЛУЖБІ»
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,короткострокова програма «Сучасні інструменти управління людськими ресурсами в органах місцевого самоврядування,49,Посадові особи місцевого самоврядування керівного рівня,30,короткострокова програма «Сучасні інструменти управління людськими ресурсами в органах місцевого самоврядування
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,короткострокова програма “Практичні аспекти проходження служби в органах місцевого самоврядування”,29,Посадові особи місцевого самоврядування керівного рівня,16,короткострокова програма “Практичні аспекти проходження служби в органах місцевого самоврядування”
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,короткострокова програма “Практичні аспекти проходження служби в органах місцевого самоврядування”,79,Посадові особи місцевого самоврядування керівного рівня,44,короткострокова програма “Практичні аспекти проходження служби в органах місцевого самоврядування”
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,Управління людськими ресурсами,35,Посадові особи місцевого самоврядування керівного рівня,22,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,Управління людськими ресурсами,47,Посадові особи місцевого самоврядування керівного рівня,27,Управління людськими ресурсами
Програма Ради Європи «Децентралізація і реформа публічної адміністрації в Україні»,1 квартал 2021,,,"короткострокова програма «Організація діяльності сільського, селищного, міського голови»",133,Голови органів місцевого самоврядування та їх заступники,113,"короткострокова програма «Організація діяльності сільського, селищного, міського голови»"
