Область,Тергромада,Програма,Тематика,Кількість начань
Вінницька,Вінницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Вінницька,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Вінницька,Вінницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Жмеринська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Жмеринська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Жмеринська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Могилів-Подільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Могилів-Подільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Могилів-Подільська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Козятинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Козятинська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Ладижинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Ладижинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Хмільницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Хмільницька,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Хмільницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Барська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Копайгородська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Копайгородська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Вінницька,Копайгородська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Бершадська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Бершадська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Джулинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Джулинська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Джулинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Вороновицька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Стрижавська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Стрижавська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Агрономічна,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Агрономічна,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Вінницька,Лука-Мелешківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Лука-Мелешківська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Якушинецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
