Область,Тергромада,Програма,Тематика,Кількість
Вінницька,Вінницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Жмеринська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Могилів-Подільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Козятинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Ладижинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Хмільницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Барська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Копайгородська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Бершадська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Джулинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Вороновицька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Агрономічна,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Лука-Мелешківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Якушинецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Гайсинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Краснопільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Кунківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Дашівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Глуховецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Махнівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Самгородоцька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Калинівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Іванівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Крижопільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Липовецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Літинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
