Область,Тергромада,Програма,Тематика,Кількість
Дніпропетровська,Покровська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Дніпропетровська,Апостолівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,4
Дніпропетровська,Зеленодольська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Дніпропетровська,Васильківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Дніпропетровська,Миколаївська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Дніпропетровська,Піщанська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Дніпропетровська,Петриківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Дніпропетровська,Мирівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Дніпропетровська,Царичанська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,4
Дніпропетровська,Могилівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Дніпропетровська,Гречаноподівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Запорізька,Веселівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Запорізька,Широківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Запорізька,Комиш-Зорянська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Запорізька,Пологівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Івано-Франківська,Верхнянська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Івано-Франківська,Печеніжинська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Івано-Франківська,Нижньовербізька,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Івано-Франківська,П’ядицька,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Кіровоградська,Бобринецька,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Кіровоградська,Дмитрівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Кіровоградська,Маловисківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Кіровоградська,Смолінська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Кіровоградська,Новоукраїнська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Миколаївська,Вознесенська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Миколаївська,Арбузинська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Миколаївська,Прибужанівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Миколаївська,Доманівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Миколаївська,Мостівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Миколаївська,Галицинівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Миколаївська,Шевченківська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Миколаївська,Кам’яномостівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Тернопільська,Борщівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Тернопільська,Золотопотіцька,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Тернопільська,Вишнівецька,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,1
Тернопільська,Зборівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
Тернопільська,Лановецька,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,2
