Область,Тергромада,Програма,Тематика,Кількість
Вінницька,Стрижавська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Вінницька,Агрономічна,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Вінницька,Лука-Мелешківська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Вінницька,Станіславчицька,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Вінницька,Літинська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Вінницька,Тиврівська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Вінницька,Сутисківська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Волинська,Нововолинська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Волинська,Горохівська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Волинська,Берестечківська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Волинська,Камінь-Каширська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Волинська,Олицька,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Волинська,Локачинська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Волинська,Ратнівська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Волинська,Рожищенська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Нікопольська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Синельниківська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Верхньодніпровська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Підгородненська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Слобожанська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Межиріцька,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Троїцька,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Іларіонівська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Солонянська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Дніпропетровська,Юр’ївська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Авдіївська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Добропільська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Новодонецька,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Білозерська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Дружківська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Святогірська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Часовоярська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Нікольська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Гродівська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Курахівська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Донецька,Мангушська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Житомирська,Старосілецька,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Житомирська,Чоповицька,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Житомирська,Вчорайшенська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Житомирська,Пулинська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Житомирська,Курненська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Житомирська,Краснопільська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
Житомирська,Вільшанська,Проєкт ОБСЄ «Підтримка належного врядування в місцевих громадах як складової реформи децентралізації»,Навчання загального управлінського характеру,1
