Область,Тергромада,Програма,Тематика,Кількість
Закарпатська,Ужгородська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Закарпатська,Мукачівська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Закарпатська,Хустська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Закарпатська,Іршавська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Закарпатська,Кам’янська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Закарпатська,Рахівська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Закарпатська,Ясінянська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Закарпатська,Керецьківська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Вознесенська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Березнегуватська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Олександрівська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Воскресенська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Шевченківська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Новобузька,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Новоодеська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Херсонська,Херсонська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Херсонська,Каховська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Херсонська,Музиківська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Херсонська,Скадовська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Херсонська,Виноградівська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Хмельницька,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Кам’янець-Подільська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Нетішинська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Славутська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Шепетівська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Віньковецька,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Зіньківська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Красилівська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Летичівська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Полонська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Хмельницька,Чемеровецька,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
