Область,Тергромада,Програма,Тематика,Кількість
Донецька,Білозерська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Донецька,Костянтинівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Херсонська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Каховська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Новокаховська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Дар’ївська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Музиківська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Бериславська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Милівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Великоолександрівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Борозенська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Херсонська,Великолепетиська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Рубанівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Генічеська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Бехтерська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Любимівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Скадовська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Олешківська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Виноградівська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Черкаська,Чорнобаївська,"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
