Область,Тергромада,Програма,Тематика,Кількість
Вінницька,Вінницька,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Вінницька,Вінницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Жмеринська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Жмеринська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Могилів-Подільська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Козятинська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Ладижинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Хмільницька,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Хмільницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Барська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Копайгородська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Вінницька,Копайгородська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Бершадська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Джулинська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Джулинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Вороновицька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Стрижавська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Агрономічна,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Вінницька,Лука-Мелешківська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Якушинецька,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Якушинецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Гайсинська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Краснопільська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Кунківська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Кунківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Северинівська,"Програма ""U-LEAD з Європою""",Громада з нуля,11
Вінницька,Северинівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Северинівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Станіславчицька,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Станіславчицька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Іллінецька,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Іллінецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Дашівська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Дашівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Глуховецька,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Глуховецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Махнівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
