Область,Тергромада,Програма,Тематика,Кількість
Волинська,Луцька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Волинська,Торчинська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Волинська,Велимченська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Сумська,Березівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Сумська,Краснопільська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Сумська,Степанівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Херсонська,Бехтерська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Херсонська,Костянтинівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Херсонська,Зеленопідська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Херсонська,Виноградівська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Чернівецька,Вижницька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Чернівецька,Новоселицька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Чернівецька,Недобоївська,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
